Name,Latitude,Longitude
Héctor Abad Gómez,6.299796881784668,-75.55949584121996
Jardín Botánico,6.270506281342611,-75.56358888129927
Jesús Nazareno,6.259917117770527,-75.56740709498105
Juan Pablo II,6.229575837857989,-75.52961099511764
Juan XXIII La Quiebra,6.265875773945011,-75.61414087532125
Kennedy,6.288822804563525,-75.58247765828743
LLanaditas,6.252887906294844,-75.53981533817922
La Aguacatala,6.198657667714923,-75.57752178695155
La Aldea,6.343515005889789,-75.70069876580814
La Alpujarra,6.243878868709421,-75.57727715947576
La América,6.251641511354435,-75.60453644377857
La Avanzada,6.294513638023825,-75.53833102983889
La Candelaria,6.249516398201677,-75.56652654599529
La Castellana,6.240448492610104,-75.6080286545743
La Colina,6.2000015520486444,-75.59298281229638
La Cruz,6.270332502873377,-75.53812348437471
La Cuchilla,6.298333873224495,-75.66251726697898
La Esperanza,6.216099274418646,-75.6214924801725
La Esperanza,6.292790849374476,-75.57674114905402
La Esperanza No.2,6.291193026430603,-75.54170874924294
La Floresta,6.25631373537207,-75.60157490482827
La Florida,6.171449752649432,-75.6677434529562
La Florida,6.204680753942447,-75.56583639128793
La Francia,6.300400213890431,-75.55330128639393
La Frisola,6.314282377239641,-75.693438316316
La Frontera,6.305128458689849,-75.55499226500356
La Gloria,6.223100569973739,-75.60333560984238
La Hondonada,6.203425271536977,-75.60307965640322
La Ilusión,6.3004388132471005,-75.62854553659379
La Isla,6.3033887293198,-75.54942350054976
La Ladera,6.254267760215912,-75.5477655416557
La Libertad,6.240938344513627,-75.54246242908597
La Loma,6.265033373114126,-75.63313509603746
La Loma de Los Bernal,6.218474172553013,-75.60342625114443
La Mansión,6.259213978165198,-75.55576405215223
La Milagrosa,6.2357285069964,-75.5548555757354
La Mota,6.211007679431369,-75.59865038592463
La Palma,6.268858057900885,-75.66243018091458
La Palma,6.229020980495497,-75.60235926782067
La Pilarica,6.276329978141059,-75.58556214604704
La Pradera,6.260857212894392,-75.61090238018858
La Rosa,6.290794155894799,-75.5592983202318
La Salle,6.2836682100564545,-75.54850721531054
La Sierra,6.233622404282523,-75.52786212303113
La Sucia,6.350075683795824,-75.71253194019468
La Suiza,6.2957758147745535,-75.70233553342702
La Verde,6.196023850933458,-75.64370231329916
